0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,Water Quality Data of Ground Water in Delhi Monitored under NWMP-2024,,,,,,,,,,,,,,,,,,,,,,,,
"3477
WELL AT ALIPUR, DELHI",DELHI,,,,"7.9
7.9",,,,,"0.3
0.3",,,"4360
4360",,,,,,,,,,,,,
"3479
WELL AT AURBINDO MARG, DELHI",DELHI,,,,"7.6
8.3",,,,,"20
28",,,"2790
3010",,,,,,,,,,,,,
"3480
WELL AT BAWANA, DELHI",DELHI,,,,"8.3
8.3",,,,,"0.3
0.3",,,"396
396",,,,,,,,,,,,,
"3483
WELL AT BURARI, DELHI",DELHI,,,,"7.2
7.9",,,,,"0.3
0.3",,,"2640
2970",,,,,,,,,,,,,
"3485
WELL AT DEFENCE COLONY, DELHI",DELHI,,,,"7.7
7.7",,,,,"34
34",,,"2380
2380",,,,,,,,,,,,,
"3488
WELL AT DILSHAD GARDEN, DELHI",DELHI,,,,"7.2
7.7",,,,,"0.3
1",,,"2940
3206",,,,,,,,,,,,,
"3489
WELL AT DWARKA, DELHI",DELHI,,,,"7.5
7.9",,,,,"0.3
0.3",,,"5840
6040",,,,,,,,,,,,,
"3490
WELL AT FATEH PUR BERI, DELHI",DELHI,,,,"7.8
8.4",,,,,"41
47",,,"2976
3000",,,,,,,,,,,,,
"3492
WELL AT GAJIPUR, DELHI",DELHI,,,,"8
8.2",,,,,"0.3
0.3",,,"2860
2980",,,,,,,,,,,,,
"3493
WELL AT GANDHI NAGAR, DELHI",DELHI,,,,"7.7
7.8",,,,,"0.3
0.3",,,"1000
1110",,,,,,,,,,,,,
"3494
WELL AT HAIDERPUR, DELHI",DELHI,,,,"7.9
8",,,,,"0.3
1",,,"162
202",,,,,,,,,,,,,
"3496
WELL AT ISBT, DELHI",DELHI,,,,"8
8.4",,,,,"0.3
0.3",,,"227
312",,,,,,,,,,,,,
"3498
WELL AT KALKA JI, DELHI",DELHI,,,,"7.9
7.9",,,,,"9
9",,,"942
942",,,,,,,,,,,,,
3500,"WELL AT KAMLA NAGAR, DELHI",DELHI,,,8.1,8.4,,,,,0.3,0.3,,,,,1740,1820,,,,,,,,
3503,"WELL AT KAROL BAGH, DELHI",DELHI,,,7.5,7.8,,,,,7,7,,,,,668,687,,,,,,,,
3514,"WELL AT MATIALA, DELHI",DELHI,,,7.4,7.7,,,,,17,23,,,,,5400,5710,,,,,,,,
3515,"WELL AT MAYA PURI, DELHI",DELHI,,,7.9,8,,,,,10,17,,,,,1640,1721,,,,,,,,
3516,"WELL AT MAYUR VIHAR, DELHI",DELHI,,,7.6,8.1,,,,,2,5,,,,,1230,1324,,,,,,,,
3517,"WELL AT NAJAFGARH, DELHI",DELHI,,,7.6,7.8,,,,,49,53,,,,,2850,2894,,,,,,,,
3518,"WELL AT NARAINA INDL AREA, DELHI",DELHI,,,7.6,7.6,,,,,4,4,,,,,984,984,,,,,,,,
3520,"WELL AT OKHLA, DELHI",DELHI,,,7.9,7.9,,,,,10,10,,,,,860,860,,,,,,,,
3524,"WELL AT PASCHIM VIHAR, DELHI",DELHI,,,8,8,,,,,0.3,0.3,,,,,581,581,,,,,,,,
3525,"WELL AT PATEL NAGAR, DELHI",DELHI,,,7.9,7.9,,,,,4,4,,,,,928,928,,,,,,,,
3526,"WELL AT PATPAR GANJ, DELHI",DELHI,,,8.1,8.2,,,,,0.3,0.3,,,,,2860,2874,,,,,,,,
3527,"WELL AT PATPARGANJ INDL AREA, DELHI",DELHI,,,8.3,8.4,,,,,0.3,0.3,,,,,2850,2870,,,,,,,,
3528,"WELL AT PEERAGARHI, DELHI",DELHI,,,7.5,7.5,,,,,22,22,,,,,8940,8940,,,,,,,,
3529,"WELL AT PILANJI, DELHI",DELHI,,,7.7,8.1,,,,,43,49,,,,,3700,4264,,,,,,,,
3530,"WELL AT PRIYA ENCLAVE, DELHI",DELHI,,,7.9,8,,,,,0.3,0.3,,,,,2220,2368,,,,,,,,
3531,"WELL AT QUTAB GARH, DELHI",DELHI,,,8.2,8.4,,,,,7,8,,,,,1820,1902,,,,,,,,
3532,"WELL AT RAJENDER NAGAR, DELHI",DELHI,,,8.1,8.2,,,,,0.3,0.3,,,,,506,742,,,,,,,,
3533,"WELL AT RAJPURA ROAD, DELHI",DELHI,,,7.9,8.1,,,,,0.3,0.3,,,,,803,840,,,,,,,,
3534,,DELHI,,,8.1,8.3,,,,,0.3,0.3,,,,,1020,1056,,,,,,,,
,"RAKABGANJ SAHIB, DELHI",,,,,,,,,,,,,,,,,,,,,,,,,
3535,"WELL AT ROHINI, DELHI",DELHI,,,7.6,7.6,,,,,10,10,,,,,1470,1470,,,,,,,,
3536,"WELL AT SAKET, DELHI",DELHI,,,7.6,8,,,,,20,26,,,,,663,890,,,,,,,,
